,Question,Newest Label,Outdated Label
78,Do late systemic postnatal corticosteroids help reduce the risks of mortality and bronchopulmonary dysplasia in preterm infants?,REFUTED,--
79,Does exercise-based cardiac rehabilitation improve health outcomes for people with coronary heart disease?,SUPPORTED,NOT ENOUGH INFORMATION
80,Do interventions aimed at women effectively increase cervical screening uptake?,REFUTED,--
81,Does early anticoagulation improve outcomes for patients with acute ischaemic stroke?,SUPPORTED,--
82,Do systemic postnatal corticosteroids help prevent bronchopulmonary dysplasia in preterm infants?,REFUTED,NOT ENOUGH INFORMATION
83,Does starting nasal CPAP early in preterm infants reduce the need for mechanical ventilation and the risk of bronchopulmonary dysplasia?,NOT ENOUGH INFORMATION,SUPPORTED
84,Does carotid endarterectomy under local anaesthetic reduce the risk of stroke and death compared to general anaesthetic?,SUPPORTED,NOT ENOUGH INFORMATION
85,Do oral anticoagulants provide more benefit than risk for cancer patients undergoing treatment?,NOT ENOUGH INFORMATION,--
86,Do antibiotics help prevent infections in cancer patients with long-term central venous catheters?,SUPPORTED,NOT ENOUGH INFORMATION
87,Does surgical management improve ulcer healing in patients with deep venous insufficiency?,NOT ENOUGH INFORMATION,SUPPORTED
88,Does paracetamol help relieve perineal pain after childbirth?,SUPPORTED,NOT ENOUGH INFORMATION
89,Do school-based interventions effectively increase physical activity and improve fitness in children and adolescents?,REFUTED,NOT ENOUGH INFORMATION
90,Do educational meetings improve professional practice and healthcare outcomes?,NOT ENOUGH INFORMATION,--
91,Does patching improve outcomes for children with intermittent exotropia compared to observation?,SUPPORTED,--
92,Is colchicine an effective treatment for acute gout?,SUPPORTED,NOT ENOUGH INFORMATION
93,Does slowly advancing enteral feed volumes reduce the risk of necrotising enterocolitis in very preterm or VLBW infants?,REFUTED,SUPPORTED
94,Does chronic non-invasive ventilation improve outcomes for people with COPD?,REFUTED,--
95,Do PW-led treatments improve mental health outcomes in low- and middle-income countries?,NOT ENOUGH INFORMATION,--
96,Can adjuvant drug treatment improve the outcomes of dialysis access in patients with end-stage renal disease?,SUPPORTED,--
97,Does double intrauterine insemination (IUI) improve pregnancy rates compared to single IUI for subfertile couples?,SUPPORTED,--
98,Is using an opioid effective for treating neonatal abstinence syndrome in newborns?,SUPPORTED,--
99,Do non-pharmacological interventions improve functional ability in people with spatial neglect after stroke?,SUPPORTED,--
100,Is one method of tube feeding more effective than the other for preterm infants under 1500 grams?,SUPPORTED,--
101,Is combination intravenous antibiotic therapy more effective than single therapy for treating respiratory infections in cystic fibrosis?,NOT ENOUGH INFORMATION,--
102,Does early postnatal discharge from hospital affect the health outcomes of mothers and infants?,NOT ENOUGH INFORMATION,--
103,Do anthelmintics help reduce seizures in people with neurocysticercosis?,SUPPORTED,NOT ENOUGH INFORMATION
104,Is using a sedative effective and safe for treating neonatal abstinence syndrome due to opioid withdrawal?,REFUTED,--
105,Does long-term oral anticoagulation reduce deaths and stroke in people with heart failure in sinus rhythm?,NOT ENOUGH INFORMATION,--
106,Does treating gastro-oesophageal reflux disease help improve asthma symptoms?,NOT ENOUGH INFORMATION,REFUTED
107,Do topical emollients reduce the risk of invasive infection in preterm infants?,NOT ENOUGH INFORMATION,--
108,Is quarantine effective in reducing the spread of COVID-19?,REFUTED,SUPPORTED
109,Do drugs that reduce gastric acidity improve fat absorption in people with cystic fibrosis?,REFUTED,SUPPORTED
110,Does treating varicoceles improve pregnancy rates in couples where the male has a varicocele?,NOT ENOUGH INFORMATION,--
111,Are anti-seizure medications effective for reducing seizures in Lennox-Gastaut syndrome?,REFUTED,--
112,Does thromboprophylaxis during pregnancy reduce the risk of venous thromboembolism in at-risk women?,NOT ENOUGH INFORMATION,REFUTED
113,Do international travel-related control measures effectively reduce the spread of infectious diseases during a pandemic?,SUPPORTED,NOT ENOUGH INFORMATION
114,Does dornase alfa improve lung function in cystic fibrosis patients compared to placebo?,SUPPORTED,--
115,Does assisted hatching improve live birth rates in assisted conception?,SUPPORTED,NOT ENOUGH INFORMATION
116,Does zinc supplementation during pregnancy improve maternal and neonatal outcomes?,NOT ENOUGH INFORMATION,REFUTED
117,Does antibiotic prophylaxis reduce the risk of pneumococcal infection in children with sickle cell disease?,REFUTED,SUPPORTED
118,Does home-based end-of-life care increase the likelihood of dying at home?,REFUTED,NOT ENOUGH INFORMATION
119,Is umbilical vein injection of saline or uterotonics effective for treating retained placenta?,SUPPORTED,--
120,Do different classes of antibiotics given before a caesarean section affect the risk of infection in mothers?,NOT ENOUGH INFORMATION,--
121,Do preterm infants grow better on formulas with high medium chain triglycerides compared to those with low medium chain triglycerides?,SUPPORTED,--
122,Is endometrial resection or ablation an effective alternative to hysterectomy for treating heavy menstrual bleeding?,NOT ENOUGH INFORMATION,--
123,Is there a difference in safety and efficacy between synthetic and venous patch materials used in carotid patch angioplasty?,NOT ENOUGH INFORMATION,--
124,Do topical antibiotic treatments help prevent respiratory infections in patients on mechanical ventilation?,REFUTED,--
125,Is ethosuximide the best initial treatment for children and adolescents with absence seizures?,NOT ENOUGH INFORMATION,--
126,Is gabapentin effective as an add-on treatment for drug-resistant focal epilepsy?,REFUTED,NOT ENOUGH INFORMATION
127,Does tyrosine supplementation improve outcomes for people with phenylketonuria?,NOT ENOUGH INFORMATION,--
128,Does reducing sodium intake have an effect on blood pressure?,NOT ENOUGH INFORMATION,REFUTED
129,Do peripheral nerve blocks improve pain management for adults with hip fractures?,REFUTED,--
130,Do pneumococcal conjugate vaccines help prevent acute otitis media in children?,SUPPORTED,NOT ENOUGH INFORMATION
131,Are surgical interventions more effective than non-surgical treatments for basal cell carcinoma?,SUPPORTED,NOT ENOUGH INFORMATION
132,Do low protein diets help slow the progression of chronic kidney disease to end-stage kidney disease?,SUPPORTED,--
133,Is there a beneficial effect of the intervention on patient outcomes?,SUPPORTED,--
134,Does tubal surgery improve pregnancy outcomes in women with hydrosalpinges undergoing assisted reproductive technology?,SUPPORTED,--
135,Does continuous positive airway pressure (CPAP) reduce the need for mechanical ventilation in preterm infants with respiratory distress?,NOT ENOUGH INFORMATION,--
136,Does early initiation of CPAP reduce mortality and the need for ventilation in preterm infants with respiratory distress?,REFUTED,--
137,Does tubal flushing with oil-soluble contrast media improve fertility outcomes in women with subfertility?,REFUTED,NOT ENOUGH INFORMATION
138,Does continuous oral antibiotic prophylaxis improve outcomes in children with cystic fibrosis?,NOT ENOUGH INFORMATION,SUPPORTED
139,Does protein supplementation of human milk improve growth in preterm infants?,SUPPORTED,--
140,Does carotid endarterectomy reduce the risk of recurrent stroke in patients with symptomatic carotid stenosis?,REFUTED,NOT ENOUGH INFORMATION
141,Does supplementing human milk with carbohydrates improve growth and health outcomes in preterm infants?,SUPPORTED,NOT ENOUGH INFORMATION
142,Do different corticosteroid regimens provide benefits for children with steroid-sensitive nephrotic syndrome?,SUPPORTED,--
143,Is oral 5-ASA effective for maintaining remission in ulcerative colitis compared to placebo?,REFUTED,SUPPORTED
144,Is oral anti-fungal treatment more effective than intra-vaginal treatment for uncomplicated vulvovaginal candidiasis?,SUPPORTED,--
145,Does adding fat to human milk improve growth and development in preterm infants?,SUPPORTED,NOT ENOUGH INFORMATION
146,Does reducing saturated fat intake lower the risk of cardiovascular events?,NOT ENOUGH INFORMATION,--
147,Is aromatherapy effective and safe for people with dementia?,SUPPORTED,NOT ENOUGH INFORMATION
148,Is oral 5-aminosalicylic acid effective for inducing remission in ulcerative colitis compared to placebo?,REFUTED,--
149,Does vigabatrin help reduce seizures in people with drug-resistant focal epilepsy?,SUPPORTED,--
150,Do chronic blood transfusions help prevent strokes in children with sickle cell disease?,SUPPORTED,--
151,Do pharmacological treatments improve outcomes for women with intrahepatic cholestasis of pregnancy?,SUPPORTED,--
152,Is zonisamide effective as an add-on treatment for focal epilepsy that is not controlled by other medications?,NOT ENOUGH INFORMATION,--
153,Do fluid and pharmacological agents effectively prevent adhesions in women undergoing gynaecological surgery?,SUPPORTED,NOT ENOUGH INFORMATION
154,Is a low-phenylalanine diet effective for people with phenylketonuria?,SUPPORTED,--
155,Can prophylactic interventions effectively prevent hypotension after spinal anaesthesia for caesarean section?,SUPPORTED,--
156,Does preoperative blood transfusion in people with sickle cell disease reduce complications during surgery?,NOT ENOUGH INFORMATION,SUPPORTED
157,Is early surgical repair beneficial for patients with asymptomatic abdominal aortic aneurysms between 4.0 cm and 5.5 cm in diameter?,SUPPORTED,--
158,Is levetiracetam effective as an add-on treatment for drug-resistant focal epilepsy?,SUPPORTED,NOT ENOUGH INFORMATION
159,Do ketogenic diets help reduce seizures in people with drug-resistant epilepsy?,SUPPORTED,--
160,Do progestogen-releasing intrauterine devices effectively reduce heavy menstrual bleeding?,REFUTED,--
161,Does multi-nutrient fortified human milk improve growth rates in preterm infants without increasing adverse effects?,SUPPORTED,NOT ENOUGH INFORMATION
162,Does pelvic floor muscle training help prevent or treat urinary incontinence in pregnant or postnatal women?,SUPPORTED,NOT ENOUGH INFORMATION
163,Does chelation therapy improve clinical outcomes in people with atherosclerotic cardiovascular disease?,NOT ENOUGH INFORMATION,--
164,Are enuresis alarms effective in treating bedwetting in children?,REFUTED,--
165,Are antiepileptic drugs effective in preventing seizures after craniotomy?,NOT ENOUGH INFORMATION,SUPPORTED
166,Does organised inpatient care for stroke patients lead to better outcomes compared to alternative care services?,NOT ENOUGH INFORMATION,REFUTED
167,Does antibiotic prophylaxis reduce the risk of postoperative wound infections after hernia repair surgery?,REFUTED,NOT ENOUGH INFORMATION
168,Are non-corticosteroid immunosuppressive medications beneficial for children with relapsing steroid-sensitive nephrotic syndrome?,REFUTED,--
169,Does omega-3 supplementation reduce morbidity and mortality in cystic fibrosis patients?,SUPPORTED,REFUTED
170,Do educational and supportive strategies help people with sleep apnea use CPAP devices more effectively?,NOT ENOUGH INFORMATION,--
171,Can interventions effectively reduce silent cerebral infarcts in people with sickle cell disease?,NOT ENOUGH INFORMATION,REFUTED
172,Do breathing exercises help improve asthma management?,SUPPORTED,--
173,Do barrier agents used during pelvic surgery reduce pain and improve live birth rates in women of reproductive age?,NOT ENOUGH INFORMATION,SUPPORTED
174,Do immunosuppression strategies provide benefits for treating IgA nephropathy?,SUPPORTED,--
175,Do vitamins and minerals reduce the risk of lung cancer in healthy people?,NOT ENOUGH INFORMATION,--
176,Do smoking cessation pharmacotherapies and electronic cigarettes help pregnant women quit smoking?,NOT ENOUGH INFORMATION,--
177,Are corticosteroids effective for reducing pain in oral lichen planus?,SUPPORTED,--
178,Is membrane sweeping effective for inducing labour in women at or near term?,NOT ENOUGH INFORMATION,--
179,Is carotid artery stenting safer than carotid endarterectomy for treating carotid stenosis?,NOT ENOUGH INFORMATION,--
180,Does laparoscopic ovarian drilling improve live birth rates in women with PCOS who are resistant to clomiphene citrate?,NOT ENOUGH INFORMATION,--
181,Is ibuprofen effective and safer than indomethacin for closing a patent ductus arteriosus in preterm infants?,NOT ENOUGH INFORMATION,--
182,Can acupuncture and acupressure help manage pain during labor?,NOT ENOUGH INFORMATION,SUPPORTED
183,Is intravenous immunoglobulin effective in preventing nosocomial infections in preterm or low birth weight infants?,NOT ENOUGH INFORMATION,SUPPORTED
184,Does administering intravenous immunoglobulin reduce mortality in neonates with suspected or proven infection?,SUPPORTED,REFUTED
185,Are traditional suburethral sling procedures effective for treating stress urinary incontinence in women?,NOT ENOUGH INFORMATION,--
186,Does ibuprofen effectively prevent patent ductus arteriosus in preterm infants?,NOT ENOUGH INFORMATION,SUPPORTED
187,Do topical agents and wound dressings impact the healing of arterial leg ulcers?,REFUTED,SUPPORTED
188,Is drug therapy effective and safe for managing delirium symptoms in terminally ill adults?,SUPPORTED,NOT ENOUGH INFORMATION
189,Is tonsillectomy an effective treatment for children with PFAPA syndrome?,SUPPORTED,--
190,Do interventions for female drug-using offenders effectively reduce criminal activity or drug use?,NOT ENOUGH INFORMATION,REFUTED
191,Do psychosocial interventions reduce substance use in people with serious mental illness more effectively than standard care?,NOT ENOUGH INFORMATION,SUPPORTED
192,Is laparoscopic colposuspension effective for treating urinary incontinence in women?,NOT ENOUGH INFORMATION,--
193,Does spinal anaesthesia with lidocaine lead to a higher risk of transient neurological symptoms compared to other local anaesthetics?,SUPPORTED,--
194,Are medical therapies effective for preventing or treating pouchitis?,NOT ENOUGH INFORMATION,SUPPORTED
195,Is prophylactic plasma transfusion effective and safe for patients with coagulation test abnormalities undergoing surgery?,SUPPORTED,--
196,Does antibiotic treatment for asymptomatic bacteriuria reduce the risk of complications during pregnancy?,NOT ENOUGH INFORMATION,SUPPORTED
197,Can progestogen therapy help prevent recurrent miscarriages?,REFUTED,NOT ENOUGH INFORMATION
198,Does cognitive rehabilitation improve attention and functional recovery in stroke survivors?,NOT ENOUGH INFORMATION,--
199,Does adding exercise to smoking cessation support help people quit smoking more effectively than support alone?,NOT ENOUGH INFORMATION,--
200,Can antiplatelet agents like low-dose aspirin help prevent pre-eclampsia in at-risk pregnant women?,SUPPORTED,--
201,Does adding intrapleural fibrinolytic therapy to standard treatment improve outcomes for complicated pleural infections?,NOT ENOUGH INFORMATION,--
202,Is routine malaria chemoprophylaxis beneficial for people with sickle cell disease in malaria-endemic areas?,SUPPORTED,REFUTED
203,Is topiramate effective as an add-on treatment for drug-resistant focal epilepsy?,SUPPORTED,REFUTED
204,Is valproate an effective treatment for acute mania in adults with bipolar disorder?,NOT ENOUGH INFORMATION,--
205,Does tiagabine help reduce seizure frequency in people with drug-resistant focal seizures?,NOT ENOUGH INFORMATION,--
206,Do different types of dental implants have varying long-term success rates?,SUPPORTED,NOT ENOUGH INFORMATION
207,Is botulinum toxin type A effective for treating lower limb spasticity in children with cerebral palsy?,REFUTED,--
208,Do interventions for drug-using offenders with mental health problems reduce drug use or criminal activity?,NOT ENOUGH INFORMATION,--
209,Do antibiotics help reduce the risk of active trachoma and ocular infections?,NOT ENOUGH INFORMATION,--
210,Does Tai Chi provide benefits for people with rheumatoid arthritis?,NOT ENOUGH INFORMATION,SUPPORTED
211,Do NSAIDs effectively reduce heavy menstrual bleeding in women?,REFUTED,--
212,Is compression therapy effective in treating post-thrombotic syndrome?,NOT ENOUGH INFORMATION,--
213,Does regular deworming treatment for all children improve their overall health and development?,NOT ENOUGH INFORMATION,SUPPORTED
214,Can oral non-steroidal anti-inflammatory drugs help slow lung disease progression in cystic fibrosis?,SUPPORTED,--
215,Do antiviral treatments improve recovery in Bell's palsy when used with corticosteroids?,SUPPORTED,NOT ENOUGH INFORMATION
216,Does follow-up care after colorectal cancer surgery improve overall survival?,SUPPORTED,--
217,Are once-daily doses of aminoglycoside antibiotics as effective as multiple-daily doses for treating pulmonary exacerbations in cystic fibrosis?,SUPPORTED,--
218,Does feeding preterm or low birth weight infants with formula lead to better growth and developmental outcomes compared to maternal breast milk?,NOT ENOUGH INFORMATION,--
219,Is phenytoin more effective than phenobarbitone for treating seizures?,NOT ENOUGH INFORMATION,--
220,Is oral progestogen therapy effective in reducing heavy menstrual bleeding in women of reproductive age?,REFUTED,SUPPORTED
221,Do interventions that combine diet and physical activity effectively prevent obesity in young children?,SUPPORTED,NOT ENOUGH INFORMATION
222,Does supplemental enteral tube feeding improve nutritional status in people with cystic fibrosis?,SUPPORTED,--
223,Does feeding preterm or low birth weight infants with formula lead to better growth outcomes compared to donor breast milk?,REFUTED,NOT ENOUGH INFORMATION
224,Is there a difference in effectiveness between carbamazepine and phenytoin for treating seizures?,SUPPORTED,--
225,Does inositol supplementation improve health outcomes in preterm infants with respiratory distress syndrome?,SUPPORTED,--
226,Are inhaled corticosteroids effective for treating lung inflammation in cystic fibrosis?,NOT ENOUGH INFORMATION,SUPPORTED
227,Can local opinion leaders improve healthcare professionals' adherence to evidence-based practices?,NOT ENOUGH INFORMATION,--
228,Is hypnotherapy effective for helping people quit smoking?,SUPPORTED,NOT ENOUGH INFORMATION
229,Does early androgen suppression therapy improve survival in advanced hormone-sensitive prostate cancer?,NOT ENOUGH INFORMATION,SUPPORTED
230,Is surgical resection more effective than biopsy for treating high-grade glioma?,SUPPORTED,--
231,Does antihypertensive treatment reduce mortality in people aged 60 and older with hypertension?,REFUTED,NOT ENOUGH INFORMATION
232,Is combining antidepressants with benzodiazepines more effective than using antidepressants alone for treating major depression?,NOT ENOUGH INFORMATION,--
233,Is guided tissue regeneration more effective than conventional surgery for treating periodontal defects?,REFUTED,NOT ENOUGH INFORMATION
234,Do mucolytics help reduce exacerbations in patients with chronic bronchitis or COPD?,SUPPORTED,--
235,Does telephone support help smokers quit?,SUPPORTED,REFUTED
236,Does prophylactic oxytocin effectively reduce postpartum blood loss during the third stage of labour?,NOT ENOUGH INFORMATION,--
237,Is robot-assisted surgery effective and safe for treating gynaecological diseases in women?,NOT ENOUGH INFORMATION,REFUTED
238,Is there effective treatment available for guttate psoriasis?,NOT ENOUGH INFORMATION,--
239,Are remote psychological therapies effective for managing chronic pain in children and adolescents?,NOT ENOUGH INFORMATION,SUPPORTED
240,Do programmes offering additional social support during pregnancy help reduce low birthweight and preterm births?,SUPPORTED,--
241,Does long-term antibiotic use help prevent recurrent urinary tract infections in children?,NOT ENOUGH INFORMATION,--
242,Does memantine provide benefits for people with dementia?,REFUTED,NOT ENOUGH INFORMATION
243,Is a Mediterranean-style diet effective for preventing cardiovascular disease?,NOT ENOUGH INFORMATION,--
244,"Do lifestyle, drug, and surgical interventions effectively treat obesity in children and adolescents?",SUPPORTED,--
245,Do antistreptococcal interventions help manage psoriasis?,NOT ENOUGH INFORMATION,--
246,Do calcium antagonists reduce the risk of death or dependency after acute ischemic stroke?,SUPPORTED,NOT ENOUGH INFORMATION
247,Do combined hormonal contraceptives effectively reduce heavy menstrual bleeding compared to other treatments?,NOT ENOUGH INFORMATION,SUPPORTED
248,Are newer endometrial ablation techniques effective in reducing heavy menstrual bleeding in premenopausal women?,REFUTED,NOT ENOUGH INFORMATION
249,Is there a more effective method of emergency contraception than levonorgestrel?,NOT ENOUGH INFORMATION,--
250,Do print-based self-help materials help smokers quit more effectively than no treatment?,NOT ENOUGH INFORMATION,REFUTED
251,Are home-based tooth whitening products effective for achieving whiter teeth?,REFUTED,--
252,Is laparoscopic appendectomy generally more beneficial than open appendectomy for treating appendicitis?,SUPPORTED,--
253,Do insecticide-treated nets reduce child mortality and malaria morbidity?,SUPPORTED,--
254,Do graduated compression stockings help prevent deep vein thrombosis in hospitalised patients?,NOT ENOUGH INFORMATION,SUPPORTED
255,Does swallowing therapy improve outcomes for stroke survivors with dysphagia?,SUPPORTED,--
256,Do antibiotics improve outcomes for patients with acute COPD exacerbations?,SUPPORTED,NOT ENOUGH INFORMATION
257,Is carbamazepine more effective than phenobarbitone for treating seizures?,REFUTED,--
258,Do hydrolysed formulas help prevent allergic disease in infants compared to standard formulas or breast milk?,REFUTED,--
259,Are drugs that rehydrate sickled red blood cells effective in reducing complications of sickle cell disease?,SUPPORTED,--
260,Does naloxone improve outcomes for newborns exposed to opioids during pregnancy?,NOT ENOUGH INFORMATION,SUPPORTED
261,Are pressure-relieving support surfaces effective in treating pressure ulcers?,SUPPORTED,--
262,Is delaying delivery beneficial for babies in cases of severe pre-eclampsia between 24 and 34 weeks' gestation?,SUPPORTED,--
263,Can pelvic floor muscle training improve symptoms of urinary incontinence in women?,NOT ENOUGH INFORMATION,SUPPORTED
264,Does calcium supplementation during pregnancy help reduce the risk of pre-eclampsia and related complications?,SUPPORTED,NOT ENOUGH INFORMATION
265,Do antihypertensive drugs help reduce severe hypertension in pregnant women with mild to moderate hypertension?,SUPPORTED,--
266,Do psychological treatments help reduce chronic pain in children and adolescents?,SUPPORTED,NOT ENOUGH INFORMATION
267,Are different antibiotic regimens effective for treating scrub typhus?,SUPPORTED,--
268,Are antidepressants effective for treating depression in patients with dementia?,SUPPORTED,NOT ENOUGH INFORMATION
