,Group_ID,Study_ID,Label
328,98,1483,SUPPORTED
329,,2881,SUPPORTED
330,,16219,SUPPORTED
331,99,2189,SUPPORTED
332,,2885,SUPPORTED
333,,6509,SUPPORTED
334,,11750,SUPPORTED
335,,15023,SUPPORTED
336,100,2919,SUPPORTED
337,,8060,SUPPORTED
338,,11598,SUPPORTED
339,,13758,SUPPORTED
340,,14618,SUPPORTED
341,101,2939,SUPPORTED
342,,8963,SUPPORTED
343,,13066,SUPPORTED
344,,16385,SUPPORTED
345,102,2944,NOT ENOUGH INFORMATION
346,,11022,NOT ENOUGH INFORMATION
347,,16007,NOT ENOUGH INFORMATION
348,103,2955,NOT ENOUGH INFORMATION
349,,4196,NOT ENOUGH INFORMATION
350,104,2968,SUPPORTED
351,,9619,NOT ENOUGH INFORMATION
352,105,3000,REFUTED
353,,9422,REFUTED
354,,13623,REFUTED
355,,15372,REFUTED
356,106,3011,NOT ENOUGH INFORMATION
357,,14350,NOT ENOUGH INFORMATION
358,107,3026,NOT ENOUGH INFORMATION
359,,12341,REFUTED
360,,15226,REFUTED
361,108,3041,NOT ENOUGH INFORMATION
362,,14733,NOT ENOUGH INFORMATION
363,109,3045,REFUTED
364,,14654,SUPPORTED
365,110,3089,REFUTED
366,,7781,SUPPORTED
367,111,3098,NOT ENOUGH INFORMATION
368,,12759,NOT ENOUGH INFORMATION
369,,14651,NOT ENOUGH INFORMATION
370,112,3118,REFUTED
371,,15823,REFUTED
372,113,3120,NOT ENOUGH INFORMATION
373,,12922,NOT ENOUGH INFORMATION
374,,16036,REFUTED
375,114,1696,SUPPORTED
376,,3195,NOT ENOUGH INFORMATION
377,,8092,SUPPORTED
378,,11043,SUPPORTED
379,115,3206,SUPPORTED
380,,8533,SUPPORTED
381,,10135,SUPPORTED
382,,14662,SUPPORTED
383,116,3225,SUPPORTED
384,,14659,NOT ENOUGH INFORMATION
385,117,3241,NOT ENOUGH INFORMATION
386,,5845,REFUTED
387,,8326,REFUTED
388,,14923,SUPPORTED
389,118,3274,REFUTED
390,,12938,SUPPORTED
391,119,3278,REFUTED
392,,13174,REFUTED
393,,14901,NOT ENOUGH INFORMATION
394,120,3280,SUPPORTED
395,,15359,SUPPORTED
396,121,3336,NOT ENOUGH INFORMATION
397,,7182,NOT ENOUGH INFORMATION
398,,13963,NOT ENOUGH INFORMATION
399,,15385,NOT ENOUGH INFORMATION
400,122,3346,SUPPORTED
401,,7022,SUPPORTED
402,123,3352,NOT ENOUGH INFORMATION
403,,5533,NOT ENOUGH INFORMATION
404,,15660,NOT ENOUGH INFORMATION
405,124,3414,NOT ENOUGH INFORMATION
406,,5908,NOT ENOUGH INFORMATION
407,,8142,NOT ENOUGH INFORMATION
408,,15879,NOT ENOUGH INFORMATION
409,125,3492,REFUTED
410,,15439,REFUTED
411,126,169,NOT ENOUGH INFORMATION
412,,3552,NOT ENOUGH INFORMATION
413,,3772,NOT ENOUGH INFORMATION
414,127,3560,REFUTED
415,,8885,NOT ENOUGH INFORMATION
416,,10374,NOT ENOUGH INFORMATION
417,128,3561,NOT ENOUGH INFORMATION
418,,9623,NOT ENOUGH INFORMATION
419,129,3569,NOT ENOUGH INFORMATION
420,,11029,NOT ENOUGH INFORMATION
421,,13199,NOT ENOUGH INFORMATION
422,,15234,REFUTED
423,130,3593,REFUTED
424,,14547,REFUTED
425,131,3665,SUPPORTED
426,,10367,NOT ENOUGH INFORMATION
427,132,1386,SUPPORTED
428,,3666,SUPPORTED
429,,14949,NOT ENOUGH INFORMATION
430,133,555,SUPPORTED
431,,3712,SUPPORTED
432,,15291,SUPPORTED
433,134,3755,SUPPORTED
434,,13349,SUPPORTED
435,,14726,SUPPORTED
436,135,3756,SUPPORTED
437,,13343,SUPPORTED
438,,14718,SUPPORTED
439,136,3775,NOT ENOUGH INFORMATION
440,,10995,NOT ENOUGH INFORMATION
441,,11159,NOT ENOUGH INFORMATION
442,,14781,NOT ENOUGH INFORMATION
443,137,3801,REFUTED
444,,8962,REFUTED
445,,11594,REFUTED
446,,15116,REFUTED
447,138,2191,REFUTED
448,,3829,NOT ENOUGH INFORMATION
449,,5242,NOT ENOUGH INFORMATION
450,,14813,REFUTED
451,139,3847,NOT ENOUGH INFORMATION
452,,10702,SUPPORTED
453,,12784,SUPPORTED
454,,13590,SUPPORTED
455,,14806,SUPPORTED
456,140,3885,SUPPORTED
457,,7501,SUPPORTED
458,,12525,SUPPORTED
459,141,3716,REFUTED
460,,3904,REFUTED
461,,8045,REFUTED
462,,11295,REFUTED
463,,15497,NOT ENOUGH INFORMATION
464,142,4033,SUPPORTED
465,,10334,NOT ENOUGH INFORMATION
466,,12497,SUPPORTED
467,,13334,NOT ENOUGH INFORMATION
468,,13989,SUPPORTED
469,,15541,SUPPORTED
470,143,4045,SUPPORTED
471,,8530,SUPPORTED
472,,11916,SUPPORTED
473,,14309,SUPPORTED
474,144,2119,REFUTED
475,,4048,REFUTED
476,,12317,SUPPORTED
477,,14914,SUPPORTED
478,145,4074,SUPPORTED
479,,15643,SUPPORTED
480,146,4098,SUPPORTED
481,,7675,SUPPORTED
482,,12462,SUPPORTED
483,,14299,NOT ENOUGH INFORMATION
484,147,4112,NOT ENOUGH INFORMATION
485,,4590,NOT ENOUGH INFORMATION
486,148,4140,SUPPORTED
487,,12511,SUPPORTED
488,,16005,NOT ENOUGH INFORMATION
489,149,4153,REFUTED
490,,4183,REFUTED
491,,13331,REFUTED
492,,14481,REFUTED
493,150,4163,SUPPORTED
494,,16149,SUPPORTED
495,151,4168,SUPPORTED
496,,13062,SUPPORTED
497,,15217,SUPPORTED
498,152,181,SUPPORTED
499,,4172,SUPPORTED
500,153,4202,NOT ENOUGH INFORMATION
501,,15614,NOT ENOUGH INFORMATION
502,154,4249,SUPPORTED
503,,11940,NOT ENOUGH INFORMATION
504,,15619,NOT ENOUGH INFORMATION
505,155,4257,SUPPORTED
506,,9543,SUPPORTED
507,,14836,SUPPORTED
508,156,4258,SUPPORTED
509,,12507,SUPPORTED
510,,14107,SUPPORTED
511,157,4280,NOT ENOUGH INFORMATION
512,,9099,NOT ENOUGH INFORMATION
513,,11782,SUPPORTED
514,,14610,SUPPORTED
515,158,4333,SUPPORTED
516,,14222,SUPPORTED
517,159,4345,SUPPORTED
518,,5779,NOT ENOUGH INFORMATION
519,,16058,NOT ENOUGH INFORMATION
520,160,4358,SUPPORTED
521,,7846,SUPPORTED
522,,10347,SUPPORTED
523,,13743,SUPPORTED
524,,15101,SUPPORTED
525,161,4403,REFUTED
526,,9931,REFUTED
527,,14474,REFUTED
528,162,629,SUPPORTED
529,,4404,NOT ENOUGH INFORMATION
530,163,913,SUPPORTED
531,,4409,SUPPORTED
532,,13194,NOT ENOUGH INFORMATION
533,,16157,NOT ENOUGH INFORMATION
534,164,2977,NOT ENOUGH INFORMATION
535,,4457,NOT ENOUGH INFORMATION
536,,4595,NOT ENOUGH INFORMATION
537,165,4467,REFUTED
538,,13166,REFUTED
539,,14455,REFUTED
540,166,4473,NOT ENOUGH INFORMATION
541,,7677,SUPPORTED
542,,10538,NOT ENOUGH INFORMATION
543,,14650,NOT ENOUGH INFORMATION
544,167,4508,NOT ENOUGH INFORMATION
545,,9023,REFUTED
546,,14047,NOT ENOUGH INFORMATION
547,168,4213,REFUTED
548,,4512,NOT ENOUGH INFORMATION
549,,15003,REFUTED
550,169,4248,REFUTED
551,,4276,REFUTED
552,,4513,REFUTED
553,,6267,REFUTED
554,,8459,REFUTED
555,,14089,REFUTED
556,170,4514,SUPPORTED
557,,6557,SUPPORTED
558,,10839,SUPPORTED
559,,13591,REFUTED
560,,14363,REFUTED
561,171,4521,NOT ENOUGH INFORMATION
562,,13082,NOT ENOUGH INFORMATION
563,172,2797,NOT ENOUGH INFORMATION
564,,4527,REFUTED
565,,7158,REFUTED
566,,15071,REFUTED
567,173,4529,SUPPORTED
568,,11565,SUPPORTED
569,,11942,SUPPORTED
570,,15630,SUPPORTED
571,174,4544,NOT ENOUGH INFORMATION
572,,9179,SUPPORTED
573,175,4565,SUPPORTED
574,,10870,SUPPORTED
575,176,4204,NOT ENOUGH INFORMATION
576,,4594,NOT ENOUGH INFORMATION
577,177,4641,NOT ENOUGH INFORMATION
578,,15179,NOT ENOUGH INFORMATION
579,178,1222,SUPPORTED
580,,4722,SUPPORTED
581,,9219,SUPPORTED
582,179,4787,NOT ENOUGH INFORMATION
583,,4919,NOT ENOUGH INFORMATION
584,180,1749,NOT ENOUGH INFORMATION
585,,4832,NOT ENOUGH INFORMATION
586,,6896,NOT ENOUGH INFORMATION
587,,9211,NOT ENOUGH INFORMATION
588,,11756,NOT ENOUGH INFORMATION
589,,14692,NOT ENOUGH INFORMATION
590,181,4834,NOT ENOUGH INFORMATION
591,,15515,NOT ENOUGH INFORMATION
592,182,4841,NOT ENOUGH INFORMATION
593,,11046,NOT ENOUGH INFORMATION
594,183,4842,NOT ENOUGH INFORMATION
595,,13460,SUPPORTED
596,,15669,SUPPORTED
597,184,1808,NOT ENOUGH INFORMATION
598,,4856,SUPPORTED
599,,8148,NOT ENOUGH INFORMATION
600,185,311,SUPPORTED
601,,4864,SUPPORTED
602,,7114,SUPPORTED
603,,15801,REFUTED
604,186,4880,NOT ENOUGH INFORMATION
605,,8695,NOT ENOUGH INFORMATION
606,,11297,NOT ENOUGH INFORMATION
607,,15539,NOT ENOUGH INFORMATION
608,187,4902,NOT ENOUGH INFORMATION
609,,14550,SUPPORTED
610,188,4944,REFUTED
611,,10585,SUPPORTED
612,189,4958,SUPPORTED
613,,5735,NOT ENOUGH INFORMATION
614,190,4968,SUPPORTED
615,,10193,SUPPORTED
616,191,4971,NOT ENOUGH INFORMATION
617,,12781,NOT ENOUGH INFORMATION
618,,15039,REFUTED
619,192,5002,NOT ENOUGH INFORMATION
620,,14195,SUPPORTED
621,193,5003,NOT ENOUGH INFORMATION
622,,8125,NOT ENOUGH INFORMATION
623,,14287,NOT ENOUGH INFORMATION
624,194,5016,SUPPORTED
625,,11033,SUPPORTED
626,,16099,SUPPORTED
627,195,5043,NOT ENOUGH INFORMATION
628,,12701,SUPPORTED
629,,13204,SUPPORTED
630,196,5059,SUPPORTED
631,,8340,SUPPORTED
632,197,5063,NOT ENOUGH INFORMATION
633,,6683,SUPPORTED
634,,11439,SUPPORTED
635,,14390,SUPPORTED
636,198,5072,REFUTED
637,,14111,NOT ENOUGH INFORMATION
638,199,5089,NOT ENOUGH INFORMATION
639,,15764,NOT ENOUGH INFORMATION
640,200,5090,NOT ENOUGH INFORMATION
641,,5508,NOT ENOUGH INFORMATION
642,201,5100,SUPPORTED
643,,7215,SUPPORTED
644,,12196,SUPPORTED
645,,14951,SUPPORTED
646,202,5110,NOT ENOUGH INFORMATION
647,,14438,NOT ENOUGH INFORMATION
648,203,3651,SUPPORTED
649,,5153,SUPPORTED
650,,5748,SUPPORTED
651,,14366,REFUTED
652,204,856,SUPPORTED
653,,5159,REFUTED
654,,13032,NOT ENOUGH INFORMATION
655,,13170,NOT ENOUGH INFORMATION
656,,14895,NOT ENOUGH INFORMATION
657,205,3291,NOT ENOUGH INFORMATION
658,,5184,NOT ENOUGH INFORMATION
659,,7514,NOT ENOUGH INFORMATION
660,,14559,NOT ENOUGH INFORMATION
661,206,5271,NOT ENOUGH INFORMATION
662,,13153,NOT ENOUGH INFORMATION
663,,14647,NOT ENOUGH INFORMATION
664,207,2288,SUPPORTED
665,,5287,SUPPORTED
666,,8332,NOT ENOUGH INFORMATION
667,,10189,SUPPORTED
668,,12671,SUPPORTED
669,,14380,SUPPORTED
670,208,2111,REFUTED
671,,5305,REFUTED
672,,8057,REFUTED
673,,8398,REFUTED
674,,11786,REFUTED
675,,12008,REFUTED
676,,16045,REFUTED
677,209,5312,NOT ENOUGH INFORMATION
678,,8474,NOT ENOUGH INFORMATION
679,,16460,NOT ENOUGH INFORMATION
680,210,5345,NOT ENOUGH INFORMATION
681,,14051,NOT ENOUGH INFORMATION
682,211,5387,NOT ENOUGH INFORMATION
683,,10035,SUPPORTED
684,,14463,SUPPORTED
685,212,5388,REFUTED
686,,5394,REFUTED
687,213,542,NOT ENOUGH INFORMATION
688,,5397,NOT ENOUGH INFORMATION
689,214,5410,NOT ENOUGH INFORMATION
690,,15571,SUPPORTED
691,215,5424,SUPPORTED
692,,14794,SUPPORTED
693,216,5441,SUPPORTED
694,,14171,NOT ENOUGH INFORMATION
695,217,5442,SUPPORTED
696,,13300,SUPPORTED
697,,14187,SUPPORTED
698,218,5464,SUPPORTED
699,,8258,SUPPORTED
700,,14135,SUPPORTED
701,219,5480,NOT ENOUGH INFORMATION
702,,15650,NOT ENOUGH INFORMATION
703,220,5497,NOT ENOUGH INFORMATION
704,,12354,NOT ENOUGH INFORMATION
705,221,1624,REFUTED
706,,5543,REFUTED
707,,8697,REFUTED
708,,11167,REFUTED
709,,15914,SUPPORTED
710,222,1650,SUPPORTED
711,,5553,SUPPORTED
712,,13044,SUPPORTED
713,,15717,NOT ENOUGH INFORMATION
714,223,5560,SUPPORTED
715,,13611,SUPPORTED
716,,14954,SUPPORTED
717,224,5616,REFUTED
718,,14119,NOT ENOUGH INFORMATION
719,225,5140,SUPPORTED
720,,5618,SUPPORTED
721,,10851,SUPPORTED
722,,15567,SUPPORTED
723,226,5642,SUPPORTED
724,,12518,SUPPORTED
725,227,2359,NOT ENOUGH INFORMATION
726,,5665,SUPPORTED
727,,6139,NOT ENOUGH INFORMATION
728,228,5675,NOT ENOUGH INFORMATION
729,,14285,NOT ENOUGH INFORMATION
730,229,5680,SUPPORTED
731,,10715,NOT ENOUGH INFORMATION
732,,12050,NOT ENOUGH INFORMATION
733,,14133,NOT ENOUGH INFORMATION
734,230,5704,NOT ENOUGH INFORMATION
735,,15087,SUPPORTED
736,231,4660,SUPPORTED
737,,5714,SUPPORTED
738,232,5031,REFUTED
739,,5734,NOT ENOUGH INFORMATION
740,233,4284,NOT ENOUGH INFORMATION
741,,5736,NOT ENOUGH INFORMATION
742,234,5101,REFUTED
743,,5737,NOT ENOUGH INFORMATION
744,235,5752,SUPPORTED
745,,12457,SUPPORTED
746,,14625,SUPPORTED
747,236,1840,SUPPORTED
748,,2717,SUPPORTED
749,,5764,SUPPORTED
750,,7600,SUPPORTED
751,,10078,SUPPORTED
752,,11548,SUPPORTED
753,,13020,REFUTED
754,,14313,REFUTED
755,237,5766,NOT ENOUGH INFORMATION
756,,11038,NOT ENOUGH INFORMATION
757,238,5793,NOT ENOUGH INFORMATION
758,,7961,NOT ENOUGH INFORMATION
759,,10703,REFUTED
760,,12655,REFUTED
761,,13986,REFUTED
762,,15907,SUPPORTED
763,239,5808,NOT ENOUGH INFORMATION
764,,14062,NOT ENOUGH INFORMATION
765,240,5889,NOT ENOUGH INFORMATION
766,,8134,NOT ENOUGH INFORMATION
767,,10039,NOT ENOUGH INFORMATION
768,,13458,SUPPORTED
769,,15078,SUPPORTED
770,241,5897,SUPPORTED
771,,11764,SUPPORTED
772,,15743,SUPPORTED
773,242,5899,NOT ENOUGH INFORMATION
774,,14805,NOT ENOUGH INFORMATION
775,243,5915,REFUTED
776,,12356,NOT ENOUGH INFORMATION
777,244,5925,NOT ENOUGH INFORMATION
778,,14213,NOT ENOUGH INFORMATION
779,245,5928,SUPPORTED
780,,11587,SUPPORTED
781,,15230,SUPPORTED
782,246,5960,NOT ENOUGH INFORMATION
783,,8329,NOT ENOUGH INFORMATION
784,,11572,NOT ENOUGH INFORMATION
785,,13597,NOT ENOUGH INFORMATION
786,,15194,NOT ENOUGH INFORMATION
787,247,5979,SUPPORTED
788,,11007,SUPPORTED
789,,15758,NOT ENOUGH INFORMATION
790,248,1244,NOT ENOUGH INFORMATION
791,,5984,SUPPORTED
792,,9733,SUPPORTED
793,249,3680,REFUTED
794,,6016,REFUTED
795,,8140,REFUTED
796,,12343,REFUTED
797,,15866,NOT ENOUGH INFORMATION
798,250,3871,NOT ENOUGH INFORMATION
799,,6145,NOT ENOUGH INFORMATION
800,251,6168,NOT ENOUGH INFORMATION
801,,8692,REFUTED
802,,13435,REFUTED
803,,15147,REFUTED
804,252,6170,REFUTED
805,,14589,REFUTED
806,253,6171,SUPPORTED
807,,14852,SUPPORTED
808,254,6172,SUPPORTED
809,,14863,SUPPORTED
810,255,6173,NOT ENOUGH INFORMATION
811,,15685,SUPPORTED
812,256,6183,SUPPORTED
813,,11013,SUPPORTED
814,,13462,SUPPORTED
815,,15343,SUPPORTED
816,257,421,SUPPORTED
817,,1828,NOT ENOUGH INFORMATION
818,,5205,NOT ENOUGH INFORMATION
819,,6203,NOT ENOUGH INFORMATION
820,258,6209,REFUTED
821,,10996,REFUTED
822,,15395,REFUTED
823,259,6218,REFUTED
824,,14605,REFUTED
825,260,6226,SUPPORTED
826,,15259,SUPPORTED
827,261,6229,NOT ENOUGH INFORMATION
828,,14127,SUPPORTED
829,262,6232,SUPPORTED
830,,10871,SUPPORTED
831,263,794,SUPPORTED
832,,6233,SUPPORTED
833,,15468,SUPPORTED
